,user_names,text
0,JimboManDude,@newsinvesting I hope Rumble overtakes the leftist authoritarian propagandists who run YouTube
1,JimboManDude,"RT @FreeBeacon: Doocy: ""You tweeted Trump stole an election, you tweeted Brian Kemp stole an election. If denying election results is extre…"
2,JimboManDude,@SimonDixonTwitt @BankToTheFuture What would you be investing in now Simon if you started your investment journey  today?
3,JimboManDude,RT @EpochTimes: A secondary analysis of clinical trials for the Pfizer and Moderna #COVID19 vaccines found vaccinated individuals were at h…
4,JimboManDude,@CGasparino Where’s my refund on my student loan that I already paid off?
5,JimboManDude,@NewsAsset So what happens to the USDC we hold in our ledger wallets?
6,JimboManDude,"@CryptoSavy1 Probably not, we didn’t have the Federal reserve back then"
7,JimboManDude,@coinbureau The corrupt democrats are trying to outlaw crypto
8,JimboManDude,@CGasparino @GovMurphy @FoxNews Democrats have been stuffing the ballot box for decades
9,JimboManDude,RT @RepMaryMiller: The FBI raided teenager Barron Trump's bedroom but refuses to investigate why Hunter Biden was paid millions by the Chin…
10,JimboManDude,@calabim_james @CGasparino @staceyabrams Look up the reason why France banned mail in voting and get back to me. I’ll wait
11,JimboManDude,@CGasparino @staceyabrams Not to mention all the democrats and main steam media who said Russia hacked the 2016 election which made Trump illegitimate. Are they election deniers too?
12,JimboManDude,@washingtonpost Suspended for reposting leftist democrat garbage?
13,JimboManDude,@maggieNYT So Democrats love Barr now?
14,JimboManDude,@0xCoast @rhmaximalist @Stoic0x Yep!
15,JimboManDude,@NewsAsset 💯
16,JimboManDude,@Google Google is run by left wing authoritarian dictators
17,JimboManDude,@RapSheet Don’t take opportunities from my man Eckler
18,JimboManDude,"RT @mikepompeo: Allowing the Chinese Communist Party to buy American farmland is madness.
 
It's a national security threat, and Congress n…"
19,JimboManDude,@tripgabriel Lol the old Republicans pounce propaganda from the corrupt main stream media
20,JimboManDude,@Puprluvr @tripgabriel Lol you still believe the polls 😂
21,JimboManDude,@CGasparino Charlie still has a bad case of Trump Derangement Syndrome unfortunately
22,JimboManDude,@CGasparino He already declassified them. Move on
23,JimboManDude,@edokeefe @POTUS @CBSMornings lol I guess their defund the police message wasn’t polling well
24,JimboManDude,@Cernovich The presidential records act is NOT a criminal statute. That’s why it’s never been prosecuted. Move on
25,JimboManDude,@Cernovich Show me the man and I’ll show you the crime
26,JimboManDude,@Cernovich Unfollowed
27,JimboManDude,@TheeFreeWill @cvpayne Wait until you find out the democrats used Covid as an excuse to stuff the ballot box in 2020
28,JimboManDude,@Investingcom This was planned. “you will own nothing and be happy”
29,JimboManDude,@NewsAsset Very sad. You will own nothing and be happy
30,JimboManDude,@RichardHeartWin Democrats are trying to ban crypto: Please vote Republican
31,JimboManDude,@PodcastMovement lol what a snowflake ❄️
32,JimboManDude,@PodcastMovement Podcast movement is clearly antisemetic for cancellation prominent Jewish people
33,JimboManDude,@CGasparino @nypost It’s about dam time
34,JimboManDude,@WatcherGuru And he still drives the same car and lives in the same house for the last 50 years. Goat
35,JimboManDude,@Investingcom https://t.co/V2uYdV2xqD
36,JimboManDude,"@petestrzok Trump will never become president right, right? No he won’t. We’ll stop him. - Disgraced Peter talking to his affair lover"
37,JimboManDude,@Davidking92King @Bease11 But Biden said we can’t get Covid if we get the vaccine. Did Biden and the democrats lie to all of us? https://t.co/8dCQXhE8va
38,JimboManDude,@Cernovich 💯
39,JimboManDude,"RT @mrddmia: Legal nonsense.

1. Trump lawfully declassified these records. So there goes an Espionage charge.

2. He lawfully kept his per…"
40,JimboManDude,@wick589 @BryanGr77871288 Lol self regulation 😂 Democrats are so incredibly stupid it’s actually impressive.
41,JimboManDude,@CryptoSavy1 Time for a short
42,JimboManDude,@CryptoVinco The entire Biden administration is the most corrupt administration in history
43,JimboManDude,"RT @CryptoVinco: SEC’s Gary Gensler just paved the way for 200+ corrupt Chinese firms to stay on the NY Stock Exchange. 

SEC is attacking…"
44,JimboManDude,@hamcarless She will end up broke on only fans
45,JimboManDude,@cvpayne Actually income tax was meant to be a temporary tax to fund a war about a century ago. But the government lied and kept taxing us
46,JimboManDude,@0xCoast Thank you for the $Wait sers
47,JimboManDude,RT @DonaldJTrumpJr: These agencies are so broken and corrupt they’re redacting the reasons for redactions. A kangaroo court would be an upg…
48,JimboManDude,@JonathanTurley The Biden regime is the most corrupt administration in history
49,JimboManDude,@BryanGr77871288 @wick589 Read and learn https://t.co/3wTAp5GWSS
50,JimboManDude,@BryanGr77871288 @wick589 Read and learn https://t.co/91iG2Wz7Va
51,JimboManDude,@BryanGr77871288 @wick589 Read and learn https://t.co/Br7mZjANmU
52,JimboManDude,@WAITWhales 💯
53,JimboManDude,@0xCoast LFG!
54,JimboManDude,@BryanGr77871288 Obama and Clinton and every president takes documents when the leave. Trump had the paper to declassify everything and he did. You need to stop watching fake news CNN
55,JimboManDude,@0xCoast It is worth the $Wait
56,JimboManDude,@BryanGr77871288 An FBI raid was not necessary. And the FBI did not go after specific documents like you think. They went after ALL documents and even went through Melania’s clothes. I hope Trump wins and sends his FBI after Obama and Biden
57,JimboManDude,"RT @JohnLeFevre: Joe Biden’s daughter said that her dad showered with her inappropriately. 

The FBI confirmed it today. 

This is the sitt…"
58,JimboManDude,@CGasparino @FBI @WhiteHouse @AlexBerenson @Twitter Exactly. This Biden regime is the most corrupt administration in US history. This is coming from someone who would prefer Desantis rather than Trump in 2024.
59,JimboManDude,@CGasparino @dianabhenriques Just call it what it is. The Biden administration used the corrupt FBI to engage in a fishing expedition so Joe wouldn’t have to run against Trump in 2024. The same thing happens in third world countries
60,JimboManDude,@CGasparino @jamestaranto The only reason Trump is not electable is because of mass mail in voter fraud by the democrats. Trump got more votes than any sitting president in history
61,JimboManDude,@WatcherGuru Now do $Pulsechain
62,JimboManDude,RT @elonmusk: Countries should be increasing nuclear power generation! It is insane from a national security standpoint &amp; bad for the envir…
63,JimboManDude,@cvpayne The Biden administration is the most corrupt administration in history
